DOE,School - JHS 74 Nathaniel Hawthorne,13
DOE,School - PS 315,13
DOE,School - PS 106 Edward Everett Hale,13
DOE,School - IS 187,13
DOE,School - IS 119 The Glendale,13
DOE,School - PS 117 J Keld - Briarwood School,13
DOE,School - Bronx Leadership Academy High School,13
DOE,School - PS 198 Isador E Ida Straus,13
DOE,School - PS 164 Caesar Rodney,13
DOE,School - PS 236 Mill Basin,13
DOE,School - PS K225 The Eileen E Zaglin,13
DOE,School - PS 48 William C Wilcox,13
DOE,School - New York City Academy for Discovery,13
DOE,School - PS 8 Issac Varian,13
DOE,School - PS 345 Patrolman Robert Bolden,13
DOE,School - PS 273 Wortman,13
DOE,School - PS 94 Kings College School,13
DOE,School - PS 197 John B Russwurm,12
3-1-1,3-1-1,12
DOE,School - Urban Assembly Academy of Government and Law,12
DOE,School - PS 198 Brooklyn,12
OPS,Mayor's Office of Operations,12
DOE,School - IS 181 Pablo Casals,12
DOE,School - JHS 216 George J Ryan,12
DOE,School - PS-IS 116 William C Hughley,12
FUND,FUND,12
DOE,School - PS 126 Dr Marjorie H Dunbar,12
DOE,School - New Explorations Science, Technology and Math High School,12
DOE,School - PS 279 Captain Manuel Rivera Jr,12
DOE,School - PS 79 Francis Lewis,12
DOE,School - Juan Morel Campos Secondary School,12
DOE,School - PS 80 Thurgood Marshall Magnet,12
DOE,School - PS 175 Henry H Garnet,12
DOE,School - PS 114 Ryder Elementary,12
DOE,School - Frank McCourt High School,12
DOE,School - PS 116 Mary Lindley Murray,12
DOE,School - PS 20 Clinton Hill,12
DOE,School - PS-IS 208,12
DOE,School - MS 319 - Maria Teresa,12
DOF,RPIE Unit,12
DOE,School - PS 92 Adrian Hegeman,12
DOE,School - PS 175 City Island,12
DOE,School - PS 288 The Shirley Tanyhill,12
DOE,School - Benjamin N Cardozo High School,12
DOE,School - August Martin High School,12
DOE,School - PS 175 The Lynn Gross Discovery School,12
DOE,School - PS 42 Eltingville,12
DOE,School - PS 333 Manhattan School for Children,12
DOE,School - PS 212 - Queens,12
DOE,School - PS 133 William A Butler,12
DOE,School - PS 75 Mayda Cortiella,12
DOE,School - IS 237,11
DOE,School - PS 234 Independence School,11
DOE,School - IS 68 Isaac Bildersee,11
DOE,School - PS 155 William Paca,11
DOE,School - PS 131 Brooklyn,11
DOE,School - Evander Childs Evening High School,11
DOE,School - Curtis High School,11
DOE,School - PS 179,11
DOE,School - PS 215 Morris H Weiss,11
DOE,School - PS 51 Elias Howe,11
DOE,School - PS 84 Lillian Weber,11
